170035,b1160,elbA,325
170036,b1161,ycgX,406
170037,b1162,ycgE,733
170038,b1163,ycgF,1213
170039,b1164,ycgZ,238
170040,b1165,ymgA,274
170041,b1166,ymgB,268
170042,b1167,ymgC,250
170043,b1168,ycgG,1525
170044,b4520,ymgF,220
170045,b4491,ycgH,1423
170046,b1171,ymgD,331
170047,b1172,ymgG,277
170048,b4521,ymgH,223
170049,b1173,ycgI,214
174867,b1535,ydeH,892
174868,b1536,ydeI,394
174869,b1537,ydeJ,520
174870,b1538,dcp,2047
174871,b1539,ydfG,748
174872,b1540,ydfH,688
174873,b1541,ydfZ,205
174874,b1542,ydfI,1462
174875,b1543,ydfJ,1285
174876,b1544,ydfK,268
174877,b1545,pinQ,592
174878,b1546,tfaQ,577
174879,b1547,stfQ,964
174880,b1548,nohA,571
174881,b4533,ynfO,235
174882,b1549,ydfO,412
174883,b1550,gnsB,175
174884,b1551,ynfN,157
174885,b1552,cspI,214
179661,b1877,yecT,490
179662,b1878,flhE,394
179663,b1879,flhA,2080
179664,b1880,flhB,1150
179665,b1881,cheZ,646
179666,b1882,cheY,391
179667,b1883,cheB,1051
179668,b1884,cheR,862
179669,b1885,tap,1603
179670,b1886,tar,1663
179671,b1887,cheW,505
179672,b1888,cheA,1966
179673,b1889,motB,928
179674,b1890,motA,889
179675,b1891,flhC,580
179676,b1892,flhD,361
179677,unique to W3110,insH,1018
179678,b1895,yecG,430
179679,b1896,otsA,1426
179680,b1897,otsB,802
179681,b4460,araH,991
179682,b1900,araG,1516
179683,b1901,araF,991
179684,b1902,yecI,505
179685,b4537,yecJ,253
179686,b4434,isrB,161
179687,b1904,yecR,325
179688,b1905,ftn,499
179689,b1906,yecH,241
179690,b1907,tyrP,1213
184140,b1913,uvrC,1834
184141,b1914,uvrY,658
184142,b1915,yecF,226
184143,b1916,sdiA,724
184144,b1917,yecC,754
184145,b1918,yecS,670
184146,b1919,yedO,988
184147,b1920,fliY,802
184148,b1921,fliZ,553
184149,b1922,fliA,721
184150,b1923,fliC,1498
184151,b1924,fliD,1408
184152,b1925,fliS,412
184153,b1926,fliT,367
184154,b1927,amyA,1489
184155,b1928,yedD,415
184156,b1929,yedE,1207
184157,b1930,yedF,235
184158,b1931,yedK,670
184159,b1932,yedL,481
184160,b4495,yedN,523
184161,b1935,yedM,352
184162,b1936,intG,280
184163,b1937,fliE,316
184164,b1938,fliF,1660
184165,b1939,fliG,997
184166,b1940,fliH,688
184167,b1941,fliI,1375
184168,b1942,fliJ,445
184169,b1943,fliK,1129
184170,b1944,fliL,466
184171,b1945,fliM,1006
184172,b1946,fliN,415
184173,b1947,fliO,367
184174,b1948,fliP,739
184175,b1949,fliQ,271
184176,b1950,fliR,787
184177,b1951,rcsA,625
184178,b1952,dsrB,190
184179,b1953,yodD,229
188629,b1959,yedA,922
188630,b1960,vsr,472
188631,b1961,dcm,1420
188632,b1962,yedJ,697
188633,b1963,yedR,367
188634,b4496,yedS,1194
188635,b1967,hchA,853
188636,b1968,yedV,1360
188637,b1969,yedW,673
188638,b1970,yedX,415
188639,b1971,yedY,1006
188640,b1972,yedZ,637
188641,b1973,yodA,652
193105,b1994,insH,1018
193106,b1995,yoeA,394
193107,b1996,insD,907
193108,b1997,insC,412
193109,b1998,yoeE,262
193110,b1999,yeeP,427
193111,b4435,isrC,205
193112,b2000,flu,3121
193113,b2001,yeeR,1534
193114,b2002,yeeS,448
193115,b2003,yeeT,223
193116,b2004,yeeU,370
193117,b2005,yeeV,376
193118,b2006,yeeW,196
193119,b4538,yoeF,358
197589,b2030,insH,1018
197590,b2032,wbbK,1120
197591,b2033,wbbJ,592
197592,b2034,wbbI,994
197593,b2035,wbbH,1168
197594,b2036,glf,1105
197595,b2037,rfbX,1249
197596,b2038,rfbC,559
197597,b2039,rfbA,883
197598,b2040,rfbD,901
197599,b2041,rfbB,1087
202069,b2067,yegE,3319
202070,b2068,alkA,850
202071,b2069,yegD,1354
202072,b2070,yegI,1948
202073,b2071,yegJ,463
202074,b2072,yegK,763
202075,b2073,yegL,661
202076,b4436,ryeC,150
202077,b4437,ryeD,144
202078,b2074,mdtA,1249
202079,b2075,mdtB,3124
202080,b2076,mdtC,3079
202081,b2077,mdtD,1417
202082,b2078,baeS,1405
202083,b2079,baeR,724
202084,b2080,yegP,334
202085,b2081,yegQ,1363
202086,b4438,ryeE,87
202087,b2082,ogrK,220
202088,b2083,yegZ,220
202089,b2085,yegR,319
202090,b2086,yegS,901
202091,b4498,gatR,2042
202092,b2088,insE,310
202093,b2089,insF,868
202094,b2091,gatD,1042
202095,b2092,gatC,1357
202096,b2093,gatB,286
202097,b2094,gatA,1653
202098,unique to W3110,insH,982
202099,b2095,gatZ,1264
202100,b2096,gatY,856
202101,b2097,fbaB,1054
202102,b2098,yegT,1279
202103,b2099,yegU,1006
202104,b2100,yegV,967
